"","Id_code","PoolID","Foundation_spp","Day_Night","Before_After","Removal_Control","Group","Time_Point","Sampling_Day","Sampling_time","Wind_Speed.m.s","DO_mg_L","DO_p","Conductivity","Salinity","Temp.pool","Temp.in","date_triscal","mVolts","pH.pre","Notes","SalCal","Date_Time","PO_ug_L","NO2N_ug_L","NN_ug_L","NH4_ug_L","PO_umol_L","NN_umol_L","NH4_umol_L","Date_Run","TA_Run","TA_Raw","CRM_off","Salinity_Lab","TA_CRM","(Intercept)","TTris","mVTris","pH","pH_insitu","CO2","fCO2","pCO2","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite","TA_NormSal","DIC_Norm"
"99","D_30_5_BC","30","Mytilus","Day","Before","Control","Before_Control",5,2019-07-09,14:48:00,2.3,6.29,75.5,51.4,33.8,15.6,15.297,20190710,-34,7.501597363,NA,0.0329145214874096,2019-07-09 14:48:00,108.8,"28.8",354,540,3.512608,13.403856,29.93598,"12/17/19",1,1948.496471,0.213123483,33.68,1943.79277179314,-106.239247095171,1.45218230867397,-84.0252143193857,7.52734863911938,7.52332590479918,47.4502862932225,1281.22222846645,1285.83689051132,1825.22283470738,45.0326459433797,1917.70576694398,1943.79277179314,0.694757099884158,1.08262772947328,1925.49825158803,1899.65677149039
"100","D_31_5_BC","31","Mytilus","Day","Before","Control","Before_Control",5,2019-07-09,14:47:00,2.3,8.03,99,50.9,33.5,16.4,15.265,20190710,-30.1,7.433647203,NA,0.0323843103816513,2019-07-09 14:47:00,90.8,"31.8",232,464,2.931478,8.784448,25.722768,"12/18/19",1,2020.33132,0.085007907,34.73,2018.45516999014,-106.239247095171,1.45218230867397,-84.0716841532632,7.45861415116974,7.44407699482487,58.7766114868172,1622.62752281748,1628.41516196308,1913.7584146915,40.2768922083289,2012.81191838665,2018.45516999014,0.623732087774661,0.970780001374249,2061.7925898164,2056.02817428142
"101","D_32_5_BC","32","Mytilus","Day","Before","Removal","Before_Removal",5,2019-07-09,14:49:00,2.3,6.62,80.3,52.4,34.5,15.1,15.06,20190710,-34.5,7.511808958,NA,0.0336369785939604,2019-07-09 14:49:00,76.2,"23.6",218,362,2.460117,8.254352,20.068194,"12/18/19",1,1939.908666,0.085007907,34.89,1938.03251599014,-106.239247095171,1.45218230867397,-84.3693815265414,7.53887309877731,7.53833746762268,45.888613134717,1225.3105193615,1229.75162407814,1816.84187790503,46.2717048189632,1909.00219585871,1938.03251599014,0.710468043191767,1.10692633197483,1988.763367144,1958.97313569148
"102","N2_Ocean_1_BC","Ocean","Ocean","Night","Before","Ocean","Before_Ocean",1,2019-07-12,01:17:00,4.3,8.06,98.2,50.7,33.2,15.2,15.728,20190710,-59.3,7.940310737,NA,0.0326685991320422,2019-07-12 01:17:00,18.92,"4.52",14.22,135.6,0.6108322,0.53842608,7.5172572,"8/30/19",1,2174.405149,0.232710928,31.51,2169.26914900576,-106.239247095171,1.45218230867397,-83.3993237443472,7.96536996122008,7.97335645003853,17.3735525595947,461.942635101289,463.613392655678,1856.31741016508,125.330957115178,1999.02191983985,2169.26914900576,1.93668616925062,3.02419498542713,2010.40208485799,1852.62296159276
"103","N_1_1_BC","1","Phyllospadix","Night","Before","Control","Before_Control",1,2019-07-12,01:27:00,4.2,6.19,73.9,50.4,33.1,15.5,16.057,20190710,-60.2,7.953456001,"PFA tubes?? Are they 1 mL",0.0324054737265461,2019-07-12 01:27:00,13.52,"5.48",7.77,137.6,0.4364932,0.29420328,7.6281312,"8/31/19",1,2125.001468,0.048572063,31.5,2123.92946799797,-106.239247095171,1.45218230867397,-82.9215557647935,7.97885500028037,7.98728549981694,16.2678126659654,436.229891720257,437.80160785099,1805.77823358951,127.045403455114,1949.09144971059,2123.92946799797,1.96573557019196,3.06819735946135,1967.75818358636,1805.77590193776
"104","N_2_1_BC","2","Phyllospadix","Night","Before","Removal","Before_Removal",1,2019-07-12,01:29:00,4.2,6.41,76.1,50.4,33.1,15.4,16.002,20190710,-61.6,7.978284333,NA,0.0324382320196647,2019-07-12 01:29:00,14.92,"4.68",4.62,69.2,0.4816922,0.17493168,3.8362404,"9/1/19",1,2132.453827,0.396650635,31.31,2123.69962849036,-106.239247095171,1.45218230867397,-83.0014257917705,8.00358691465771,8.01273406440473,15.2468528341774,407.62324359595,409.093709719584,1790.41805096961,133.055500412814,1938.7204042166,2123.69962849036,2.0581304130381,3.21311516101037,1955.6775108245,1785.33340753005
"105","N_3_1_BC","3","Phyllospadix","Night","Before","Removal","Before_Removal",1,2019-07-12,01:30:00,4.2,6.37,75.7,50.4,33.1,15.4,15.178,20190710,-61,7.974273502,NA,0.0324382320196647,2019-07-12 01:30:00,17.12,"14.04",21.2,158.2,0.5527192,0.8027168,8.7701334,"9/2/19",1,2193.590117,0.36850704,31.43,2185.45705607509,-106.239247095171,1.45218230867397,-84.1980240141179,7.99812585426222,7.99475175036437,16.4722303053966,440.383600430254,441.972304577338,1855.85623801116,132.324542726276,2004.65301104284,2185.45705607509,2.04682380609107,3.19546349522139,2020.26221389529,1853.12482756107
"106","N_4_1_BC","4","Phyllospadix","Night","Before","Control","Before_Control",1,2019-07-12,01:32:00,4.2,5.26,62.3,50.4,33.1,15.5,15.826,20190710,-55.1,7.866306351,NA,0.0324054737265461,2019-07-12 01:32:00,10.64,"6.18",12.06,77.2,0.3435124,0.45663984,4.2797364,"9/2/19",1,2197.047054,0.36850704,31.32,2188.91399307509,-106.239247095171,1.45218230867397,-83.2570098780971,7.89129924836786,7.89616301810452,21.2995032645076,571.157302678468,573.215464638712,1916.82402778181,109.333765568166,2047.45729661449,2188.91399307509,1.69168868888914,2.6404542131643,2016.37606656211,1886.06948617546
"107","N_5_1_BC","5","Phyllospadix","Night","Before","Control","Before_Control",1,2019-07-12,01:33:00,4.2,4.28,49.7,50.4,33.1,15.5,15.916,20190710,-48,7.741849159,NA,0.0324054737265461,2019-07-12 01:33:00,16.24,"-1.57",15.92,117.4,0.5243084,0.60279488,6.5083038,"9/4/19",1,2294.022729,0.537981023,31.43,2282.14932642808,-106.239247095171,1.45218230867397,-83.1263134703165,7.76699957399746,7.77303172005089,30.4399119854784,816.262135669941,819.204332474009,2063.12178001882,88.6269139232421,2182.18860592754,2282.14932642808,1.37129775999185,2.1403754553983,2109.64568616572,2017.24082012654
"108","N_6_1_BC","6","Phyllospadix","Night","Before","Removal","Before_Removal",1,2019-07-12,01:34:00,4.2,3.17,36.5,50.5,33.1,15.5,15.787,20190710,-43.9,7.671242784,NA,0.0324597534421424,2019-07-12 01:34:00,12.22,"11.9",15.2,131.8,0.3945227,0.5755328,7.3065966,"9/4/19",1,2282.920596,0.537981023,31.5,2271.04719342808,-106.239247095171,1.45218230867397,-83.3136449881354,7.69616618279016,7.70023657697803,36.3562198799157,974.911021366396,978.425683308272,2083.84326064318,75.7025780821454,2195.90205860524,2271.04719342808,1.17132337293796,1.82824757023278,2104.05842920543,2034.43867194309
