Id_code,PoolID,Foundation_spp,Day_Night,Before_After,Removal_Control,Group,Time_Point,Sampling_Day,Sampling_time,Wind_Speed.m.s,DO_mg_L,DO_p,Conductivity,Salinity,Temp.pool,Temp.in,date_triscal,mVolts,pH.pre,Notes
D_10_3_BC,10,Mytilus,Day,Before,Removal,Before_Removal,3,7082019,12:04,0.2,8.34,102.5,52.7,34.8,15.3,19.25,20190710,-38.4,7.553002903,
D_11_3_BC,11,Mytilus,Day,Before,Removal,Before_Removal,3,7082019,12:06,0.3,7.03,86.2,52.9,35,15.1,19.195,20190710,-25.9,7.33786866,
D_12_3_BC,12,Mytilus,Day,Before,Control,Before_Control,3,7082019,12:08,0.3,11.76,149.8,52.5,34.6,17.2,20.424,20190710,-61.7,7.945439835,
D_13_3_BC,13,Mytilus,Day,Before,Control,Before_Control,3,7082019,12:13,0.3,7.62,95.7,52.7,34.8,17,20.644,20190710,-29.9,7.39822741,
D_14_3_BC,14,Mytilus,Day,Before,Control,Before_Control,3,7082019,12:16,0.3,6.43,76.4,53.9,35.7,14.6,19.723,20190710,-31.2,7.426063057,
D_15_3_BC,15,Mytilus,Day,Before,Removal,Before_Removal,3,7082019,12:18,0.3,9.15,117.7,52.8,34.8,17.5,21.158,20190710,-59.8,7.907185117,
D_16_3_BC,16,Mytilus,Day,Before,Removal,Before_Removal,3,7082019,12:20,0,7.77,97.9,52.9,35,17.1,20.944,20190710,-35.1,7.48555633,
D2_Ocean_3_BC,Ocean,Ocean,Day,Before,Ocean,Before_Ocean,3,7092019,12:03,3.7,9.46,111.4,52.5,34.5,12.8,14.908,20190710,-64.5,8.037623736,slight rain
D_17_3_BC,17,Mytilus,Day,Before,Removal,Before_Removal,3,7092019,12:10,4.3,10.41,132.1,52.3,34.5,16.8,17.329,20190710,-59.6,7.93318253,
D_18_3_BC,18,Phyllospadix,Day,Before,Control,Before_Control,3,7092019,12:18,4,9.51,117.1,52.5,34.6,15.5,16.11,20190710,-58.7,7.926910079,
D_19_3_BC,19,Mytilus,Day,Before,Control,Before_Control,3,7092019,12:12,4.3,9.96,122.6,52.4,34.5,15.4,15.378,20190710,-57.4,7.909825846,
D_20_3_BC,20,Phyllospadix,Day,Before,Control,Before_Control,3,7092019,12:24,4,15.55,190.3,52.6,34.7,15,15.918,20190710,-85.5,8.395627833,rain picked up
D_21_3_BC,21,Phyllospadix,Day,Before,Removal,Before_Removal,3,7092019,12:25,3.4,11.34,132.8,52.6,34.6,16.1,17.212,20190710,-85.2,8.37841791,
D_22_3_BC,22,Phyllospadix,Day,Before,Removal,Before_Removal,3,7092019,12:10,4.3,10.99,130.2,52.3,34.9,16.8,16.753,20190710,-72.9,8.168835471,
D_23_3_BC,23,Mytilus,Day,Before,Removal,Before_Removal,3,7092019,12:30,3.4,8.79,111.5,52.3,34.6,17.1,17.234,20190710,-44.6,7.673582914,
D_24_3_BC,24,Mytilus,Day,Before,Removal,Before_Removal,3,7092019,12:32,3.4,9.23,114,53,35,15.7,16.468,20190710,-43.7,7.663143273,
D_25_3_BC,25,Mytilus,Day,Before,Control,Before_Control,3,7092019,12:34,3.4,5.44,64.4,52.8,34.8,14.6,15.508,20190710,-28.7,7.407756591,
D_26_3_BC,26,Phyllospadix,Day,Before,Removal,Before_Removal,3,7092019,12:38,2.8,12.7,155.6,53.3,35.2,15.4,15.97,20190710,-73.4,8.184225371,rain
D_27_3_BC,27,Phyllospadix,Day,Before,Control,Before_Control,3,7092019,12:40,2.8,11.52,138,53.3,35.1,14,14.903,20190710,-61.5,7.985176274,
D_28_3_BC,28,Phyllospadix,Day,Before,Removal,Before_Removal,3,7092019,12:43,2.8,12.21,147.8,53,34.9,15.6,15.538,20190710,-84.9,8.388687559,
D_29_3_BC,29,Phyllospadix,Day,Before,Control,Before_Control,3,7092019,12:44,2.8,15.97,200.9,53.2,35.1,16.4,17.716,20190710,-108.1,8.770545808,
D_30_3_BC,30,Mytilus,Day,Before,Control,Before_Control,3,7092019,12:47,2.6,9.24,113.5,52.5,34.6,15.5,16.138,20190710,-42.1,7.637503039,
D_31_3_BC,31,Mytilus,Day,Before,Control,Before_Control,3,7092019,12:49,2.6,7.67,95.8,52.8,34.7,16.3,15.659,20190710,-31.3,7.452240314,
D_32_3_BC,32,Mytilus,Day,Before,Removal,Before_Removal,3,7092019,12:53,2.6,8.15,97,52.8,34.8,14.7,15.373,20190710,-39.6,7.598944079,
D1_Ocean_4_BC,Ocean,Ocean,Day,Before,Ocean,Before_Ocean,4,7082019,12:31,0,10.23,120.9,52.4,34.4,13.1,19.588,20190710,-64.6,8.001885328,
D_1_4_BC,1,Phyllospadix,Day,Before,Control,Before_Control,4,7082019,12:40,0.4,12.37,151.4,53,34.9,14.9,20.154,20190710,-65.8,8.017993636,
D_2_4_BC,2,Phyllospadix,Day,Before,Removal,Before_Removal,4,7082019,12:55,0.2,15.93,207.4,53.7,35.5,17,19.373,20190710,-90.8,8.454987911,
D_3_4_BC,3,Phyllospadix,Day,Before,Removal,Before_Removal,4,7082019,12:47,0.2,13.32,166.3,53.3,35.2,15.9,20.173,20190710,-83.1,8.315082013,
D_4_4_BC,4,Phyllospadix,Day,Before,Control,Before_Control,4,7082019,12:49,0.2,11.78,153.5,52.8,34.9,18.5,22.119,20190710,-84.2,8.316275821,
D_5_4_BC,5,Phyllospadix,Day,Before,Control,Before_Control,4,7082019,12:51,0.2,12.63,165.6,54,35.8,18,21.867,20190710,-79,8.229734353,
D_6_4_BC,6,Phyllospadix,Day,Before,Removal,Before_Removal,4,7082019,12:52,0.2,10.47,141.5,53.9,35.6,19.9,23.076,20190710,-78.6,8.212313988,
D_7_4_BC,7,Phyllospadix,Day,Before,Removal,Before_Removal,4,7082019,13:04,0.2,11.49,141.3,53.7,35.4,14.9,18.938,20190710,-69.2,8.086439765,
D_8_4_BC,8,Phyllospadix,Day,Before,Control,Before_Control,4,7082019,13:06,1.5,9.16,119,52.6,34.9,18.4,20.509,20190710,-64,7.984249722,
D_9_4_BC,9,Mytilus,Day,Before,Control,Before_Control,4,7082019,13:11,1.5,8.98,112.4,55.1,36.5,16.7,19.373,20190710,-34.2,7.479851764,
D_10_4_BC,10,Mytilus,Day,Before,Removal,Before_Removal,4,7082019,13:12,1.5,8.61,109.7,54.7,36.2,16,19.389,20190710,-35.3,7.498703174,
D_11_4_BC,11,Mytilus,Day,Before,Removal,Before_Removal,4,7082019,13:13,1.5,6.21,78.5,53.6,35.5,17.1,20.069,20190710,-23.5,7.291638837,
D_12_4_BC,12,Mytilus,Day,Before,Control,Before_Control,4,7082019,13:15,0.8,11.68,161.2,52.6,34.7,20.9,22.8,20190710,-64.2,7.969511295,
D_13_4_BC,13,Mytilus,Day,Before,Control,Before_Control,4,7082019,13:17,0.8,6.63,87.3,53.9,35.7,19.7,22.017,20190710,-26,7.323482492,
