Id_code,PO_ug_L,NO2N_ug_L,NN_ug_L,NH4_ug_L
N_24_3_BC,36.6,7.12,21.2,522
N_25_3_BC,108.4,16.06,59.2,772
N_26_3_BC,35.8,15.26,49.6,274
N_27_3_BC,31.8,4.54,21.4,286
N_28_3_BC,30,2.76,16.72,105.8
N_29_3_BC,31.2,2.94,20.7,254
N_30_3_BC,89.2,64.6,500,704
N_31_3_BC,73,5.1,30.2,348
N_32_3_BC,49.6,9.9,30.6,382
N2_Ocean_4_BC,19.46,7.24,14.12,122.4
N_1_4_BC,19.1,2.09,11.9,146
N_2_4_BC,20.6,6.58,3.22,106.2
N_3_4_BC,24.8,3.66,11.24,104.2
N_4_4_BC,18.3,1.75,9.36,151.8
N_5_4_BC,25.2,5.32,21.4,126.2
N_6_4_BC,20.2,15.1,9.73,138.8
N_7_4_BC,64.8,20.4,4.64,150.6
N_8_4_BC,47.4,1.46,4.68,224
N_9_4_BC,50.8,16.26,47,306
N_10_4_BC,102.2,20.6,107.2,470
N_11_4_BC,54.8,9.04,51,390
N_12_4_BC,31.8,13.66,60.2,248
N_13_4_BC,39.8,19.94,65.4,264
N_14_4_BC,31,10.38,57.4,262
N_15_4_BC,34.8,10.88,20.2,156.6
N_16_4_BC,35.8,33.9,110,398
N1_Ocean_4_BC,2.24,7.16,18.92,159.2
N_17_4_BC,82.2,9.38,17.42,562
N_18_4_BC,31.8,1.902,21.6,262
N_19_4_BC,93.8,26.4,66.8,684
N_20_4_BC,43.2,10.4,18.24,179.6
N_21_4_BC,38.4,3.72,10.44,178.4
N_22_4_BC,62.6,1.564,3.94,260
N_23_4_BC,28.2,15.9,30,358
N_24_4_BC,37.6,27.8,62.6,368
N_25_4_BC,156.6,17.6,50,815
N_26_4_BC,49.2,9.5,57.8,348
N_27_4_BC,56,6.98,18.08,348
N_28_4_BC,27.6,3.22,13.02,274
N_29_4_BC,38.3,3.28,3.83,87.8
N_30_4_BC,110.4,13.36,45,590
N_31_4_BC,91.6,64,382,702
N_32_4_BC,67,11.14,24.4,438
N2_Ocean_5_BC,#N/A,#N/A,#N/A,#N/A
N_17_5_BC,,,,
N_18_5_BC,31.2,0.113,29.4,292
N_19_5_BC,121.4,20.8,45.4,768
N_20_5_BC,45.4,11.48,10.78,276
N_21_5_BC,28.6,21.3,84.1,268
N_22_5_BC,82,-2.46,3.7,238
N_23_5_BC,44.4,23.9,37.6,562
N_24_5_BC,30,-0.278,14.08,458
N_25_5_BC,180,20.8,52,735
N_26_5_BC,61.2,5.28,47.8,302
N_27_5_BC,56.6,10.02,13.44,312
N_28_5_BC,31.8,4.46,19.98,220
N_29_5_BC,58.8,0.643,19.5,190
N_30_5_BC,104.8,70,438,794
N_31_5_BC,320,21.2,48.2,1396
N_32_5_BC,112.6,9.98,15.6,554
D1_Ocean_1_AI,50.2,13.12,224,31
D_1_1_AI,38.2,5,391,44.2
D_2_1_AI,43.2,7.92,164.8,38.2
D_3_1_AI,60,5.64,192.4,27
D_4_1_AI,29,11.38,60.8,31.6
D_5_1_AI,20,-2.82,44.8,32.2
D_6_1_AI,19.04,17.3,143,54.4
D_7_1_AI,38.4,-0.0812,108.4,36.6
D_8_1_AI,44.1,0.199,157,71.4
D_9_1_AI,48.6,1.488,152.8,160.2
D_10_1_AI,72.8,6.08,288,142.2
D_11_1_AI,48,6.28,270,71.8
D_12_1_AI,63.4,5.7,256,150.8
D_13_1_AI,69.4,1.142,224,196
D_14_1_AI,74.2,6.42,302,236
D_15_1_AI,31.2,5.62,76.8,38.2
D_16_1_AI,54.6,21.1,491,83.2
D2_Ocean_1_AI,40.2,-0.233,250,31.2
D_17_1_AI,58.4,5.24,137,97.8
